year_value,site_id,depth_to_gw_ft,depth_to_gw_m,latitude,longitude,data_source,region,bbox_side,open_et_version,scaled_annual_et_avg,mean_et,mean_precip,et_precip_ratio,precip_variation
2017,KSGS.373607100565301,413.23,125.952504,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,666.349,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2018,KSGS.373607100565301,415.94,126.778512,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,743.998,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2019,KSGS.373607100565301,417.43,127.232664,37.59874,-100.9497,USGS,Southern Kansas,10,2.0,760.014,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2020,KSGS.373607100565301,418.91,127.683768,37.59874,-100.9497,USGS,Southern Kansas,10,2.1,765.641,657.4221428571428,523.9862,1.2546554379878634,1.8702666980996763
2000,KSGS.374111099070401,32.2,9.81456,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,802.86,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2001,KSGS.374111099070401,32.14,9.796272,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,740.073,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2002,KSGS.374111099070401,33.53,10.219944,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,761.968,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2003,KSGS.374111099070401,35.78,10.905744,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,728.986,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2004,KSGS.374111099070401,37.57,11.451336,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,729.057,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2005,KSGS.374111099070401,38.78,11.820144,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,759.684,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2006,KSGS.374111099070401,38.9,11.85672,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,774.622,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2007,KSGS.374111099070401,41.525,12.65682,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,828.275,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2008,KSGS.374111099070401,39.93,12.170664,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,703.096,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2009,KSGS.374111099070401,38.57,11.756136,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,745.637,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2010,KSGS.374111099070401,37.81,11.524488,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,820.836,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2011,KSGS.374111099070401,38.55,11.75004,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,749.851,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2012,KSGS.374111099070401,41.22,12.563856,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,782.491,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2013,KSGS.374111099070401,42.61,12.987528,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,797.907,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2014,KSGS.374111099070401,42.88,13.069824,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,788.624,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2015,KSGS.374111099070401,43.57,13.280136,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,757.68,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2016,KSGS.374111099070401,44.1,13.44168,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,833.029,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2017,KSGS.374111099070401,44.46,13.551408,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,749.829,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2018,KSGS.374111099070401,45.0,13.716,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,810.504,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2019,KSGS.374111099070401,43.57,13.280136,37.68448,-99.11925,USGS,Southern Kansas,10,2.0,769.302,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2020,KSGS.374111099070401,42.68,13.008864,37.68448,-99.11925,USGS,Southern Kansas,10,2.1,821.716,774.0965238095238,737.9137,1.0490339557355055,1.8737194580831402
2000,KSGS.374125100344101,152.38,46.445424,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,748.784,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2001,KSGS.374125100344101,157.46,47.993808,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,748.019,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2002,KSGS.374125100344101,161.79,49.313592,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,714.414,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2003,KSGS.374125100344101,168.98,51.505104,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,726.698,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
